"","scientific_name","common_name","taxonid","category"
"1","Mitophis leptepileptus","Haitian Border Threadsnake",75601408,"CR"
"2","Eleutherodactylus paulsoni","Paulson's Robber Frog",56836,"CR"
"3","Leiocephalus endomychus","Central Haitian Curlytail",75306501,"CR"
"4","Leiocephalus pratensis","Atalaye Curlytail Lizard",75312135,"CR"
"5","Amphisbaena leali","Pestel Amphisbaena",74856459,"CR"
"6","Eleutherodactylus poolei","",56874,"CR"
"7","Sphaerodactylus nycteropus","Morne Dubois Least Gecko",75605559,"CR"
"8","Miconia xenotricha","",121397304,"CR"
"9","Mouriri lancifolia","",121397316,"CR"
"10","Salvia paryskii","",121394756,"CR"
"11","Eleutherodactylus rhodesi","",56909,"CR"
"12","Sagraea woodsii","",121397325,"CR"
"13","Eleutherodactylus amadeus","Haitian Robber Frog",56409,"CR"
"14","Manilkara gonavensis","",34404,"CR"
"15","Miconia hottensis","",126593127,"CR"
"16","Eleutherodactylus apostates","Apostates Robber Frog",56428,"CR"
"17","Eleutherodactylus sciagraphus","",56955,"CR"
"18","Eleutherodactylus bakeri","La Hotte Bush Frog",56449,"CR"
"19","Sphaerodactylus williamsi","Haitian Striped Sphaero",178322,"CR"
"20","Coccoloba hotteana","",121932949,"CR"
"21","Eleutherodactylus brevirostris","Short-nosed Green Frog",56475,"CR"
"22","Clavija domingensis","",121932969,"CR"
"23","Eleutherodactylus thorectes","",57004,"CR"
"24","Eleutherodactylus caribe","",56493,"CR"
"25","Eleutherodactylus chlorophenax","False Green Robber Frog",56511,"CR"
"26","Spondylurus haitiae","Hispaniolan Four-lined Skink",47103175,"CR"
"27","Calyptranthes hotteana","",121397450,"CR"
"28","Eleutherodactylus ventrilineatus","",57034,"CR"
"29","Eleutherodactylus corona","",56525,"CR"
"30","Cleyera ternstroemioides","",121397977,"CR"
"31","Eleutherodactylus warreni","Warren's Robber Frog",57052,"CR"
"32","Phyllodactylus sommeri","",75605218,"CR"
"33","Eleutherodactylus darlingtoni","",56549,"CR"
"34","Eleutherodactylus dolomedes","",56567,"CR"
"35","Ternstroemia barkeri","",121398017,"CR"
"36","Pseudophoenix lediniana","",38660,"CR"
"37","Consolea falcata","",16329998,"CR"
"38","Eleutherodactylus eunaster","Les Cayes Robber Frog",56592,"CR"
"39","Cordia tortuensis","",121392915,"CR"
"40","Eleutherodactylus glandulifer","Doris' Robber Frog",56617,"CR"
"41","Eleutherodactylus glanduliferoides","La Visite Robber Frog",56618,"CR"
"42","Attalea crassispatha","",38198,"CR"
"43","Mecranium alpestre","",121395550,"CR"
"44","Nectandra caudatoacuminata","",35676,"CR"
"45","Zanthoxylum haitiense","",123001180,"CR"
"46","Amphisbaena gonavensis","Gonave Worm Lizard",74855790,"CR"
"47","Eleutherodactylus lamprotes","Castillon Robber Frog",56698,"CR"
"48","Nectandra pulchra","",35707,"CR"
"49","Magnolia ekmanii","",193938,"CR"
"50","Magnolia emarginata","",193939,"CR"
"51","Eleutherodactylus lucioi","",56730,"CR"
"52","Calycogonium torbecianum","",122227102,"CR"
"53","Sphaerodactylus elasmorhynchus","Marche Leon Least Gecko",75605414,"CR"
"54","Amyris apiculata","",121984946,"CR"
"55","Sphaerodactylus sommeri","TerreNueve Least Gecko",75605940,"CR"
"56","Meriania ekmanii","",121397188,"CR"
"57","Meriania squamulosa","",121397196,"CR"
"58","Leiocephalus rhutidira","Lapierre Curlytail Lizard",75317710,"CR"
"59","Miconia alloeotricha","",121397200,"CR"
"60","Amphisbaena cayemite","Cayemite Short-tailed Amphisbaena",74855383,"CR"
"61","Typhlops agoralionis","La Hotte Blindsnake",75607002,"CR"
"62","Sphaerodactylus lazelli","Cap-Haitien Least Gecko",75605475,"CR"
"63","Miconia cineana","",121397222,"CR"
"64","Eleutherodactylus semipalmatus","Foothill Robber Frog",7147,"CR"
"65","Mecranium juddii","",123002865,"CR"
"66","Eleutherodactylus parapelates","Casillon Robber Frog",56827,"CR"
